t_ms,V_mV
0.0,-76.0000
0.1,-75.9940
0.2,-75.9880
0.3,-75.9820
0.4,-75.9760
0.5,-75.9700
0.6,-75.9640
0.7,-75.9580
0.8,-75.9521
0.9,-75.9461
1.0,-75.9401
1.1,-75.9341
1.2,-75.9281
1.3,-75.9222
1.4,-75.9162
1.5,-75.9102
1.6,-75.9043
1.7,-75.8983
1.8,-75.8923
1.9,-75.8864
2.0,-75.8804
2.1,-75.8744
2.2,-75.8685
2.3,-75.8625
2.4,-75.8566
2.5,-75.8506
2.6,-75.8447
2.7,-75.8387
2.8,-75.8328
2.9,-75.8268
3.0,-75.8209
3.1,-75.8150
3.2,-75.8090
3.3,-75.8031
3.4,-75.7972
3.5,-75.7912
3.6,-75.7853
3.7,-75.7794
3.8,-75.7734
3.9,-75.7675
4.0,-75.7616
4.1,-75.7557
4.2,-75.7498
4.3,-75.7438
4.4,-75.7379
4.5,-75.7320
4.6,-75.7261
4.7,-75.7202
4.8,-75.7143
4.9,-75.7084
5.0,-75.7025
5.1,-75.6966
5.2,-75.6907
5.3,-75.6848
5.4,-75.6789
5.5,-75.6730
5.6,-75.6671
5.7,-75.6612
5.8,-75.6553
5.9,-75.6495
6.0,-75.6436
6.1,-75.6377
6.2,-75.6318
6.3,-75.6259
6.4,-75.6201
6.5,-75.6142
6.6,-75.6083
6.7,-75.6025
6.8,-75.5966
6.9,-75.5907
7.0,-75.5849
7.1,-75.5790
7.2,-75.5731
7.3,-75.5673
7.4,-75.5614
7.5,-75.5556
7.6,-75.5497
7.7,-75.5439
7.8,-75.5380
7.9,-75.5322
8.0,-75.5263
8.1,-75.5205
8.2,-75.5147
8.3,-75.5088
8.4,-75.5030
8.5,-75.4972
8.6,-75.4913
8.7,-75.4855
8.8,-75.4797
8.9,-75.4738
9.0,-75.4680
9.1,-75.4622
9.2,-75.4564
9.3,-75.4506
9.4,-75.4447
9.5,-75.4389
9.6,-75.4331
9.7,-75.4273
9.8,-75.4215
9.9,-75.4157
10.0,-75.4099
10.1,-75.4041
10.2,-75.3983
10.3,-75.3925
10.4,-75.3867
10.5,-75.3809
10.6,-75.3751
10.7,-75.3693
10.8,-75.3635
10.9,-75.3577
11.0,-75.3520
11.1,-75.3462
11.2,-75.3404
11.3,-75.3346
11.4,-75.3288
11.5,-75.3231
11.6,-75.3173
11.7,-75.3115
11.8,-75.3057
11.9,-75.3000
12.0,-75.2942
12.1,-75.2884
12.2,-75.2827
12.3,-75.2769
12.4,-75.2712
12.5,-75.2654
12.6,-75.2597
12.7,-75.2539
12.8,-75.2482
12.9,-75.2424
13.0,-75.2367
13.1,-75.2309
13.2,-75.2252
13.3,-75.2194
13.4,-75.2137
13.5,-75.2080
13.6,-75.2022
13.7,-75.1965
13.8,-75.1908
13.9,-75.1850
14.0,-75.1793
14.1,-75.1736
14.2,-75.1678
14.3,-75.1621
14.4,-75.1564
14.5,-75.1507
14.6,-75.1450
14.7,-75.1393
14.8,-75.1335
14.9,-75.1278
15.0,-75.1221
15.1,-75.1164
15.2,-75.1107
15.3,-75.1050
15.4,-75.0993
15.5,-75.0936
15.6,-75.0879
15.7,-75.0822
15.8,-75.0765
15.9,-75.0708
16.0,-75.0652
16.1,-75.0595
16.2,-75.0538
16.3,-75.0481
16.4,-75.0424
16.5,-75.0367
16.6,-75.0311
16.7,-75.0254
16.8,-75.0197
16.9,-75.0140
17.0,-75.0084
17.1,-75.0027
17.2,-74.9970
17.3,-74.9914
17.4,-74.9857
17.5,-74.9800
17.6,-74.9744
17.7,-74.9687
17.8,-74.9631
17.9,-74.9574
18.0,-74.9518
18.1,-74.9461
18.2,-74.9405
18.3,-74.9348
18.4,-74.9292
18.5,-74.9235
18.6,-74.9179
18.7,-74.9123
18.8,-74.9066
18.9,-74.9010
19.0,-74.8953
19.1,-74.8897
19.2,-74.8841
19.3,-74.8785
19.4,-74.8728
19.5,-74.8672
19.6,-74.8616
19.7,-74.8560
19.8,-74.8504
19.9,-74.8447
20.0,-74.8391
20.1,-74.8335
20.2,-74.8279
20.3,-74.8223
20.4,-74.8167
20.5,-74.8111
20.6,-74.8055
20.7,-74.7999
20.8,-74.7943
20.9,-74.7887
21.0,-74.7831
21.1,-74.7775
21.2,-74.7719
21.3,-74.7663
21.4,-74.7607
21.5,-74.7551
21.6,-74.7496
21.7,-74.7440
21.8,-74.7384
21.9,-74.7328
22.0,-74.7272
22.1,-74.7217
22.2,-74.7161
22.3,-74.7105
22.4,-74.7050
22.5,-74.6994
22.6,-74.6938
22.7,-74.6883
22.8,-74.6827
22.9,-74.6771
23.0,-74.6716
23.1,-74.6660
23.2,-74.6605
23.3,-74.6549
23.4,-74.6494
23.5,-74.6438
23.6,-74.6383
23.7,-74.6327
23.8,-74.6272
23.9,-74.6216
24.0,-74.6161
24.1,-74.6106
24.2,-74.6050
24.3,-74.5995
24.4,-74.5940
24.5,-74.5884
24.6,-74.5829
24.7,-74.5774
24.8,-74.5718
24.9,-74.5663
25.0,-74.5608
25.1,-74.5553
25.2,-74.5498
25.3,-74.5442
25.4,-74.5387
25.5,-74.5332
25.6,-74.5277
25.7,-74.5222
25.8,-74.5167
25.9,-74.5112
26.0,-74.5057
26.1,-74.5002
26.2,-74.4947
26.3,-74.4892
26.4,-74.4837
26.5,-74.4782
26.6,-74.4727
26.7,-74.4672
26.8,-74.4617
26.9,-74.4562
27.0,-74.4508
27.1,-74.4453
27.2,-74.4398
27.3,-74.4343
27.4,-74.4288
27.5,-74.4234
27.6,-74.4179
27.7,-74.4124
27.8,-74.4070
27.9,-74.4015
28.0,-74.3960
28.1,-74.3906
28.2,-74.3851
28.3,-74.3796
28.4,-74.3742
28.5,-74.3687
28.6,-74.3633
28.7,-74.3578
28.8,-74.3524
28.9,-74.3469
29.0,-74.3415
29.1,-74.3360
29.2,-74.3306
29.3,-74.3251
29.4,-74.3197
29.5,-74.3142
29.6,-74.3088
29.7,-74.3034
29.8,-74.2979
29.9,-74.2925
30.0,-74.2871
30.1,-74.2816
30.2,-74.2762
30.3,-74.2708
30.4,-74.2654
30.5,-74.2600
30.6,-74.2545
30.7,-74.2491
30.8,-74.2437
30.9,-74.2383
31.0,-74.2329
31.1,-74.2275
31.2,-74.2221
31.3,-74.2166
31.4,-74.2112
31.5,-74.2058
31.6,-74.2004
31.7,-74.1950
31.8,-74.1896
31.9,-74.1842
32.0,-74.1789
32.1,-74.1735
32.2,-74.1681
32.3,-74.1627
32.4,-74.1573
32.5,-74.1519
32.6,-74.1465
